airport_code_std,airport_name_std,n_years_observed,first_year,last_year,missing_years_count
UTA,Tunica Municipal,4,2006,2015,21
61B,Boulder City Municipal,3,2005,2007,22
6N5,East 34th Street,3,2007,2009,22
ADK,Adak,3,2018,2022,22
BIH,Bishop,3,2022,2024,22
ENV,Wendover,3,2005,2008,22
FAQ,Fitiuta,3,2001,2016,22
GPZ,Grand Rapids/ Itasca Co- Gordon Newstrom Fld,3,2001,2003,22
HKY,Hickory Regional,3,2000,2005,22
LUK,Cincinnati Municipal Airport Lunken Field,3,2014,2017,22
MCK,McCook Ben Nelson Regional,3,2007,2024,22
N93,Golovin,3,2002,2007,22
PCW,Carl R Keller Field,3,2000,2002,22
PMD,Palmdale Regional/USAF Plant 42,3,2005,2008,22
PNC,Ponca City Regional,3,2000,2002,22
PTK,Oakland County International,3,2012,2015,22
SBD,San Bernardino International,3,2022,2024,22
SJX,Beaver Island,3,2012,2014,22
T44,Trident Basin,3,2001,2009,22
WDG,Enid Woodring Regional,3,2000,2002,22
YIP,Willow Run,3,2011,2018,22
17Z,Manokotak,2,2001,2003,23
3A5,Marshall Don Hunter Sr,2,2002,2003,23
3W2,Put-in-Bay,2,2001,2002,23
4KA,Tununak,2,2015,2019,23
6A8,Allakaket,2,2007,2011,23
A85,Kwigillingok,2,2001,2003,23
AGN,Angoon,2,2000,2001,23
BKL,Burke Lakefront,2,2015,2017,23
BPK,Baxter County Regional,2,2000,2001,23
CCR,Buchanan Field,2,2017,2018,23
CEF,Westover ARB/Metropolitan,2,2007,2008,23
CGX,Merrill C Meigs,2,2000,2001,23
ELY,Ely /Yelland Field/,2,2005,2006,23
FHU,Sierra Vista Municipal-Libby AAF,2,2000,2001,23
HON,Huron Regional,2,2000,2007,23
HSL,Huslia,2,2001,2002,23
HYL,Hollis,2,2000,2001,23
JRF,Kalaeloa (John Rodgers Field),2,2015,2016,23
LAM,Los Alamos,2,2002,2014,23
MLL,Marshall,2,2000,2001,23
MMU,Morristown Municipal,2,2011,2014,23
OLM,Olympia,2,2003,2004,23
ORI,Port Lions,2,2001,2009,23
ORV,Robert /Bob/ Curtis Memorial,2,2000,2001,23
OSH,Wittman Regional,2,2000,2001,23
PLB,Clinton Co,2,2000,2001,23
POU,Dutchess County,2,2000,2001,23
TEB,Teterboro,2,2006,2007,23
UCA,Oneida County,2,2000,2001,23
VEE,Venetie,2,2010,2011,23
WMO,White Mountain,2,2006,2007,23
X44,Miami,2,2000,2001,23
Z08,Ofu,2,2000,2001,23
3T7,Middle Bass Island,1,2002,2002,24
5Z9,LAKE BROOKS,1,2000,2000,24
71V,MONUMENT VALLEY,1,2000,2000,24
76S,WES LUPIEN,1,2000,2000,24
7AK,Akutan,1,2019,2019,24
9K2,KOKHANOK,1,2000,2000,24
AED,RED DOG,1,2000,2000,24
ALM,ALAMOGORDO-WHITE SANDS REGIO,1,2000,2000,24
AST,Astoria Regional,1,2010,2010,24
BEH,SOUTHWEST MICHIGAN REGIONAL,1,2000,2000,24
BIT,BETTLES,1,2000,2000,24
BLF,MERCER COUNTY,1,2000,2000,24
BLG,BELUGA,1,2000,2000,24
CBE,GREATER CUMBERLAND REGIONAL,1,2000,2000,24
DEE,Deering,1,2006,2006,24
DET,DETROIT CITY,1,2000,2000,24
DTS,Destin Exec,1,2022,2022,24
DXZ,St George Municipal,1,2010,2010,24
HI36,TAU,1,2000,2000,24
IGT,Nightmute,1,2015,2015,24
INT,Smith Reynolds,1,2002,2002,24
JHM,KAPALUA,1,2000,2000,24
JON,JOHNSTON ATOLL,1,2000,2000,24
JRB,Port Authority Downtown Manhattan/Wall St,1,2007,2007,24
KNW,NEW STUYAHOK,1,2000,2000,24
L41,MARBLE CANYON,1,2000,2000,24
LAL,Lakeland Linder International,1,2024,2024,24
LBX,Brazoria Co,1,2003,2003,24
LRU,LAS CRUCES INTERNATIONAL,1,2000,2000,24
MER,Castle,1,2012,2012,24
MTH,THE FLORIDA KEYS MARATHON,1,2000,2000,24
OFK,KARL STEFAN MEMORIAL,1,2000,2000,24
ONP,Newport Municipal,1,2010,2010,24
PDK,Dekalb-Peachtree,1,2017,2017,24
RNT,Renton Municipal,1,2021,2021,24
RWI,ROCKY MOUNT-WILSON RGNL,1,2000,2000,24
S31,Lopez Island,1,2022,2022,24
S60,KENMORE AIR HARBOR INC.,1,2000,2000,24
SDL,Scottsdale,1,2005,2005,24
SKE,KETCHIKAN HARBOR,1,2000,2000,24
SKY,GRIFFING SANDUSKY,1,2000,2000,24
SPW,SPENCER MUNI,1,2000,2000,24
TCL,Tuscaloosa Regional,1,2018,2018,24
TER,Teller,1,2006,2006,24
TPO,PORT ALSWORTH,1,2000,2000,24
UBW,UGNU-KUPARUK,1,2000,2000,24
UUO,Willow,1,2008,2008,24
W39,ROCHE HARBOR,1,2000,2000,24
X66,CHARLOTTE AMALIE HARBOR,1,2000,2000,24
X67,CHRISTIANSTED HARBOR-SSB,1,2000,2000,24
